ubigeo,viv_tipo,viv_paredes,viv_pisos,viv_techos,viv_hab_total,viv_hab_dormir,tic_celular,tic_internet,agua_todos_dias,serv_electricidad,nbi_vivienda,nbi_hacinamiento,nbi_sshh,nbi_educacion,nbi_dependencia,es_jefe,es_mujer,edad,en_pareja,trabajo_ingresos,edu_superior,edu_basica,tic_uso_internet,tic_celular_propio,salud_enfermedad_cronica,lim_discapacidad_motriz,lim_discapacidad_visual,lim_discapacidad_habla,lim_discapacidad_auditiva,lim_discapacidad_comprension,lim_discapacidad_relacion,seg_essalud,seg_privado,seg_sis
150125,0.9920292087935794,0.7644076338431436,0.9264544955187205,0.5734815482324433,3.5992234807499965,2.3397645301746017,0.9851384097129904,0.8914757441883976,0.8876647432130821,0.9949968232317025,0.05101736954700244,0.035610238550048676,0.025228261008021526,0.031175668286592125,0.0,0.3097170691953232,0.5114973677951934,37.148634480310655,0.4103414183541264,0.03002206365656178,0.2537639542856736,0.7065135048807113,0.860162880950505,0.7737578373204488,0.41463598772980154,0.028472394552892685,0.01506490455454068,0.005012403086256284,0.0037754565420678125,0.0182308130035098,0.010697244205759708,0.2563496562515077,0.010925478941548274,0.6445257930125388
150128,0.9130978639796439,0.7805040268661483,0.9533185281012744,0.7209722112606678,3.4314741805585447,2.3721657112856223,0.9732018580185753,0.9339019487269159,0.9298511260699107,1.0,0.015047751263444785,0.15259562765028697,0.03677378480076736,0.0,0.014625696044229284,0.28055934116915965,0.5267258492456339,38.45748253197383,0.3666452126516011,0.10367217838484728,0.2699391065966849,0.6895535429467936,0.7529773755502946,0.7468817780098045,0.5205794938671894,0.02827205144408335,0.03312629753394068,0.007312848022114642,0.02102578396212339,0.020872865632644583,0.0,0.34833384609940715,0.009636082175054414,0.5715542658186249
150130,1.0,1.0,1.0,1.0,4.808131699846251,3.035707782720264,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.37950044991844034,0.5599455060472244,51.81989204316577,0.44648095038798247,0.0,0.7359908861685568,0.26400911383144315,0.9074456547996624,0.9413110588712864,0.6008539397962985,0.015893522063506416,0.007946761031753208,0.0,0.0,0.0,0.0,0.49845485395907474,0.314061258758793,0.05767555091483596
150131,1.0,1.0,0.9816966467462249,1.0,4.749309369735234,3.0323306572303714,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.40958796711674017,0.5286481333417616,47.09883750000944,0.4347182811560644,0.0,0.7298376900511883,0.2561834247065287,0.9261951853127434,0.8759465730993058,0.45785522119980604,0.014107997069314449,0.01076955870766221,0.014107997069314449,0.014107997069314449,0.011616772073447043,0.0,0.5847967171525843,0.2841300353649557,0.07293172624581244
150132,0.9693656117859623,0.7214245938577958,0.9267702851315377,0.546114743320398,3.416126992688349,2.417895704503226,0.9908138492771444,0.9402111992421791,0.9420828950267266,0.996679136828968,0.060340387087217916,0.05622043566045735,0.02271485059798084,0.02136044543241436,0.004162934148960715,0.28651573748461157,0.5384341723622933,36.23010751383566,0.3721570154043402,0.0182470738708903,0.2322934918591547,0.7332165483405026,0.5634301792516345,0.7844122714431392,0.41188446079719715,0.021380196292359918,0.006749456036811975,0.008468748311496471,0.00604410712350895,0.008785918418365134,0.006930765746663924,0.2520151909121106,0.007400217837967076,0.649670567789614
150133,0.9547608302022517,0.7974281823678989,0.9130574993123466,0.6981213955664455,3.7096942450559056,2.576511598119834,0.989374623187198,0.9857273451136216,0.9720530349847843,1.0,0.02213885664324443,0.09391118836398066,0.0,0.0,0.0,0.2933889695397013,0.4779853328062419,39.56827217094241,0.33430598990824745,0.014099152033591529,0.29222942127951484,0.6747156379840601,0.6132852902086272,0.8058433399203859,0.47729487860852116,0.037438210503122786,0.01146879246080992,0.007897575423472082,0.01588989664253315,0.013299392026065879,0.009823409816407315,0.26447830433540603,0.00713041286074229,0.5839354878075792
150134,1.0,1.0,1.0,0.8528297875925446,3.305032798422885,2.342482583471013,1.0,1.0,1.0,1.0,0.0,0.04927082472366753,0.0,0.0,0.0,0.33168091361953356,0.588063308889042,42.48058343482291,0.44158974787213684,0.0,0.36144586443614957,0.613067224612133,0.7495808264969809,0.8671990568213578,0.3889233437554651,0.03058288971255697,0.0,0.0,0.0,0.0,0.024314281480060165,0.3838169500280953,0.10979434238523426,0.39669612730792286
150135,0.9852190150162891,0.9383345366376389,0.9488274387988076,0.8494273487830145,3.581695903653661,2.385646333949751,0.9942352914053579,0.9404665365528476,1.0,1.0,0.02073361344065328,0.06765718173205863,0.0,0.007169332290199156,0.008983220902456767,0.30038586913075793,0.4919526961225618,38.694973290086345,0.37844169765057434,0.04464370192678653,0.3528047840993104,0.6222888285490392,0.7898218574334772,0.7797151457796033,0.4509444382659518,0.021930632015872666,0.008925900693558662,0.009309558528938668,0.007440151185925411,0.02379956668505614,0.013339398914659531,0.43099969693476825,0.01847371313933202,0.462422134595075
150136,0.8668044556829451,0.8473306834379435,0.9504422855480312,0.9402425514432534,4.082055001269772,2.987267543427164,0.9898002658952223,0.976840091146264,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.33690233527016583,0.5382621337740178,41.65949501837717,0.39049769149441965,0.05930099231876878,0.5369283349592132,0.4528719309360091,0.9170126147033281,0.8160324265888727,0.5358688855495839,0.009048942951518996,0.0,0.0,0.006146713076040767,0.025342877315024406,0.015143143210246665,0.5534216235239363,0.09101730029846813,0.21239705635650627
150137,0.9864372800789479,0.9776015385894021,0.9632195178484234,0.9075618313609853,3.1610162869879206,2.065644661601586,0.9930800467430851,0.9543761649121401,1.0,1.0,0.022398461410597918,0.07304231101821981,0.0,0.0,0.0,0.30665229273095307,0.4927751161041701,35.521645268510966,0.3469481735103277,0.0,0.2496268890558503,0.7177145732921809,0.8041154582397824,0.7410112650417329,0.41661245570933486,0.026035050399180994,0.014002447483344213,0.01021129632573417,0.022817291309351687,0.011701138653705586,0.006175918199359738,0.3306416161890443,0.04643595790773326,0.44629166248188024
