anio,ubigeo,departamento,provincia,distrito,amenaza_grave,coaccion_grave,maltrato_sin_lesion,violencia_economica_o_patrimonial,violencia_fisica,violencia_fisica_y_psicologica,violencia_psicologica,violencia_sexual,total,prop_viv_tipo,prop_tic_celular,prop_tic_internet,prop_agua_todos_dias,prop_serv_electricidad,prop_nbi_vivienda,prop_nbi_hacinamiento,prop_nbi_sshh,prop_nbi_educacion,prop_nbi_dependencia,prop_es_jefe,prop_es_mujer,prop_en_pareja,prop_edu_superior,prop_edu_basica,prop_alfabetizacion_funcional,prop_lengua_materna_nativa,prop_tic_uso_internet,prop_tic_celular_propio,prop_salud_enfermedad_cronica,prop_tiene_limitacion,prop_tiene_seguro,media_edad,población,TVM,indice_vulnerabilidad
2025,150121,LIMA,LIMA,PUEBLO LIBRE,1,2,0,41,162,0,419,4,629,0.6179094765698813,1.0,0.9795869414776333,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.268327565657031,1.0,0.3766801206041584,0.6674530716493227,0.3325469283506774,0.9883158662835224,0.0,0.8155588017955155,0.8880961375786338,0.6745663693658056,0.0679094001241028,0.9699341419988132,56.24289319430975,102707.0,6.124217434059996,0.002551632315295843
2025,150122,LIMA,LIMA,MIRAFLORES,1,2,0,90,209,0,603,4,909,0.5502816029878552,0.979645990585464,0.9890898163729128,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5427342297002766,1.0,0.3442264992451547,0.8046763831008107,0.1953236168991893,1.0,0.0,0.9729953592163584,0.9514148024841792,0.7511997873121006,0.0278738543990525,0.8972244730753199,58.15297967288445,120252.0,7.559125835744936,0.0013637729533858972
2025,150123,LIMA,LIMA,PACHACAMAC,0,0,0,86,449,0,863,10,1408,0.6313946042654196,1.0,0.9567600066746604,1.0,1.0,0.1107402373107395,0.0205264986716144,0.0,0.0,0.0,0.3207173265466246,1.0,0.4741877787954766,0.2716501469576035,0.7019094045127832,0.9735595514703866,0.2820221001377608,0.6377126326531313,1.0,0.4796204674659381,0.0,0.9506493529026098,38.48968581304239,167211.0,8.420498651404513,0.02181334116346168
2025,150125,LIMA,LIMA,PUENTE PIEDRA,5,0,0,261,1182,0,2518,16,3982,0.7424947458272477,0.9762913110449384,0.8654877848205352,0.869717878902076,0.9919229883239948,0.0548975697524712,0.0255689066515658,0.0283029353394499,0.0231416586256855,0.0,0.2785632366006305,1.0,0.5051065004213606,0.3852413512134621,0.5874281785674773,0.924565518978548,0.0984073343003278,0.9172767884169036,0.9262835215276796,0.5393682680853109,0.0427331835140713,0.93962242862602,44.86096768767285,435888.0,9.13537422457145,0.05059780229032079
2025,150126,LIMA,LIMA,PUNTA HERMOSA,0,0,0,2,59,0,88,5,154,0.2857142857142857,1.0,0.75,1.0,0.0,0.25,0.0,0.0,0.25,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,31.0,25288.0,6.089844985763999,0.21875
2025,150128,LIMA,LIMA,RIMAC,5,3,0,145,729,0,1290,28,2200,0.7141465361243435,0.9342594775207278,0.8762906176769568,0.9369029365870842,1.0,0.0268174126741549,0.0913099893449637,0.0374494594034107,0.0,0.0130326226024772,0.3392073388797574,1.0,0.4262080314147248,0.3935760261446924,0.5629854916671507,0.941080803252492,0.1368497330787954,0.7551173364583831,0.9026328583340156,0.6481477062533054,0.0719965019631191,0.96709775844715,47.37808695146298,186404.0,11.802321838587156,0.044426991220120685
2025,150129,LIMA,LIMA,SAN BARTOLO,0,0,0,10,31,0,81,0,122,0.5,0.8333333333333334,0.8333333333333334,1.0,1.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.375,1.0,0.5,0.7753071878150656,0.2246928121849344,1.0,0.1163731563510222,0.7913213372321883,1.0,0.75,0.0,0.75,46.125,10071.0,12.113990666269487,0.04166666666666666
2025,150130,LIMA,LIMA,SAN BORJA,0,1,0,98,218,0,638,7,962,0.5988869647507035,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1866696004643744,1.0,0.4450398608461639,0.811823231143406,0.1881767688565939,1.0,0.0276078702598783,0.9306364228073288,1.0,0.6199909776171691,0.0153664501501467,0.8662480431546384,52.90406677757412,135613.0,7.093715204294574,0.0
2025,150131,LIMA,LIMA,SAN ISIDRO,2,0,0,32,93,0,271,6,404,0.6382847846842093,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3377710783300877,1.0,0.5195941496043837,0.8373806963699265,0.1626193036300735,1.0,0.0,0.9312362391772038,0.971456831448733,0.5298700329516549,0.0275156002564861,0.9665836597873658,53.98704388551851,71527.0,5.648216757308429,0.0
2025,150132,LIMA,LIMA,SAN JUAN DE LURIGANCHO,3,2,0,537,3337,0,5923,31,9833,0.7399985463912622,0.9828379239863624,0.9290256066122088,0.9534311399944966,0.9938240078710172,0.0561474210877436,0.0367443289075695,0.0176364518281482,0.0133477518747347,0.0029059026114991,0.3094691055441548,1.0,0.4595176884281935,0.340363712316454,0.6338967010559622,0.9708894323624264,0.1155125868868449,0.6130873804050233,0.9179389493093292,0.5279320313335709,0.0421076183972563,0.9351688790909668,45.59120058825786,1282635.0,7.666249556576891,0.03131263772899656
